"RS" "Intensity"
"1" 0.427091622035195 6693
"2" 0.428048010711553 6802
"3" 0.429004399387911 6792
"4" 0.429960788064269 6474
"5" 0.430917176740627 6914
"6" 0.431873565416986 6438
"7" 0.432829954093344 6368
"8" 0.433786342769702 6894
"9" 0.43474273144606 6585
"10" 0.435699120122418 6648
"11" 0.436655508798776 6787
"12" 0.437611897475134 6732
"13" 0.438568286151492 6849
"14" 0.43952467482785 6919
"15" 0.440481063504208 6244
"16" 0.441437452180566 6292
"17" 0.442393840856924 5894
"18" 0.443350229533282 6712
"19" 0.44430661820964 6485
"20" 0.445263006885999 7109
"21" 0.446219395562357 6863
"22" 0.447175784238715 6825
"23" 0.448132172915073 6881
"24" 0.449088561591431 6489
"25" 0.450044950267789 6780
"26" 0.451001338944147 6230
"27" 0.451957727620505 6504
"28" 0.452914116296863 6339
"29" 0.453870504973221 6040
"30" 0.454826893649579 6647
"31" 0.455783282325937 6361
"32" 0.456739671002295 6413
"33" 0.457696059678653 6206
"34" 0.458652448355012 6216
"35" 0.45960883703137 6396
"36" 0.460565225707728 6255
"37" 0.461521614384086 6507
"38" 0.462478003060444 6555
"39" 0.463434391736802 6410
"40" 0.46439078041316 7046
"41" 0.465347169089518 6669
"42" 0.466303557765876 6293
"43" 0.467259946442234 6027
"44" 0.468216335118592 6076
"45" 0.46917272379495 6513
"46" 0.470129112471308 6243
"47" 0.471085501147666 6502
"48" 0.472041889824025 6807
"49" 0.472998278500383 6913
"50" 0.473954667176741 5923
"51" 0.474911055853099 6501
"52" 0.475867444529457 6660
"53" 0.476823833205815 6149
"54" 0.477780221882173 6639
"55" 0.478736610558531 6876
"56" 0.479692999234889 6694
"57" 0.480649387911247 6723
"58" 0.481605776587605 6923
"59" 0.482562165263963 6740
"60" 0.483518553940321 6367
"61" 0.484474942616679 6723
"62" 0.485431331293038 7016
"63" 0.486387719969396 6776
"64" 0.487344108645754 6493
"65" 0.488300497322112 7031
"66" 0.48925688599847 6562
"67" 0.490213274674828 6748
"68" 0.491169663351186 6926
"69" 0.492126052027544 6660
"70" 0.493082440703902 6576
"71" 0.49403882938026 6910
"72" 0.494995218056618 6790
"73" 0.495951606732976 6915
"74" 0.496907995409334 6851
"75" 0.497864384085693 7006
"76" 0.498820772762051 7342
"77" 0.499777161438409 6679
"78" 0.500733550114767 7085
"79" 0.501689938791125 7125
"80" 0.502646327467483 7583
"81" 0.503602716143841 7518
"82" 0.504559104820199 7596
"83" 0.505515493496557 7991
"84" 0.506471882172915 8264
"85" 0.507428270849273 8817
"86" 0.508384659525631 9322
"87" 0.509341048201989 9834
"88" 0.510297436878347 9790
"89" 0.511253825554705 10827
"90" 0.512210214231064 11607
"91" 0.513166602907422 11748
"92" 0.51412299158378 12248
"93" 0.515079380260138 13831
"94" 0.516035768936496 14525
"95" 0.516992157612854 14572
"96" 0.517948546289212 15658
"97" 0.51890493496557 15440
"98" 0.519861323641928 15128
"99" 0.520817712318286 16625
"100" 0.521774100994644 16259
"101" 0.522730489671002 15196
"102" 0.52368687834736 15883
"103" 0.524643267023718 14913
"104" 0.525599655700077 15032
"105" 0.526556044376435 14403
"106" 0.527512433052793 13787
"107" 0.528468821729151 13457
"108" 0.529425210405509 13055
"109" 0.530381599081867 12646
"110" 0.531337987758225 11409
"111" 0.532294376434583 11441
"112" 0.533250765110941 10871
"113" 0.534207153787299 10577
"114" 0.535163542463657 10608
"115" 0.536119931140015 9812
"116" 0.537076319816373 10088
"117" 0.538032708492732 9430
"118" 0.53898909716909 9991
"119" 0.539945485845448 9739
"120" 0.540901874521806 9925
"121" 0.541858263198164 10007
"122" 0.542814651874522 9760
"123" 0.54377104055088 9900
"124" 0.544727429227238 9586
"125" 0.545683817903596 9330
"126" 0.546640206579954 9908
"127" 0.547596595256312 9836
"128" 0.54855298393267 9814
"129" 0.549509372609028 10315
"130" 0.550465761285386 9523
"131" 0.551422149961745 10038
"132" 0.552378538638103 10016
"133" 0.553334927314461 10200
"134" 0.554291315990819 10022
"135" 0.555247704667177 9828
"136" 0.556204093343535 10522
"137" 0.557160482019893 9887
"138" 0.558116870696251 10245
"139" 0.559073259372609 10162
"140" 0.560029648048967 10692
"141" 0.560986036725325 10486
"142" 0.561942425401683 11240
"143" 0.562898814078041 10582
"144" 0.563855202754399 10354
"145" 0.564811591430758 9986
"146" 0.565767980107116 10998
"147" 0.566724368783474 10142
"148" 0.567680757459832 10711
"149" 0.56863714613619 10635
"150" 0.569593534812548 10825
"151" 0.570549923488906 10907
"152" 0.571506312165264 10898
"153" 0.572462700841622 10226
"154" 0.57341908951798 11205
"155" 0.574375478194338 10653
"156" 0.575331866870696 10988
"157" 0.576288255547054 10896
"158" 0.577244644223412 10744
"159" 0.578201032899771 11130
"160" 0.579157421576129 10553
"161" 0.580113810252487 11401
"162" 0.581070198928845 10282
"163" 0.582026587605203 10607
"164" 0.582982976281561 11133
"165" 0.583939364957919 10859
"166" 0.584895753634277 10828
"167" 0.585852142310635 10870
"168" 0.586808530986993 11241
"169" 0.587764919663351 10875
"170" 0.588721308339709 11162
"171" 0.589677697016067 11267
"172" 0.590634085692425 11001
"173" 0.591590474368784 11258
"174" 0.592546863045142 10990
"175" 0.5935032517215 10788
"176" 0.594459640397858 9955
"177" 0.595416029074216 10999
"178" 0.596372417750574 10521
"179" 0.597328806426932 11006
"180" 0.59828519510329 10190
"181" 0.599241583779648 10997
"182" 0.600197972456006 10347
"183" 0.601154361132364 11184
"184" 0.602110749808722 10222
"185" 0.60306713848508 11036
"186" 0.604023527161438 10681
"187" 0.604979915837797 11183
"188" 0.605936304514155 10302
"189" 0.606892693190513 10814
"190" 0.607849081866871 11063
"191" 0.608805470543229 10325
"192" 0.609761859219587 11042
"193" 0.610718247895945 10472
"194" 0.611674636572303 10360
"195" 0.612631025248661 10805
"196" 0.613587413925019 10379
"197" 0.614543802601377 11006
"198" 0.615500191277735 10815
"199" 0.616456579954093 10665
"200" 0.617412968630451 10571
"201" 0.61836935730681 10579
"202" 0.619325745983168 11134
"203" 0.620282134659526 11564
"204" 0.621238523335884 10593
"205" 0.622194912012242 11195
"206" 0.6231513006886 10244
"207" 0.624107689364958 10990
"208" 0.625064078041316 10776
"209" 0.626020466717674 10622
"210" 0.626976855394032 11497
"211" 0.62793324407039 10906
"212" 0.628889632746748 10925
"213" 0.629846021423106 10919
"214" 0.630802410099464 10835
"215" 0.631758798775823 11228
"216" 0.632715187452181 11646
"217" 0.633671576128539 10970
"218" 0.634627964804897 11144
"219" 0.635584353481255 11623
"220" 0.636540742157613 11092
"221" 0.637497130833971 11142
"222" 0.638453519510329 11063
"223" 0.639409908186687 11049
"224" 0.640366296863045 11517
"225" 0.641322685539403 12118
"226" 0.642279074215761 11264
